gpu,fold,arm,k,regret
a6000,0,random,1,2.549864
a6000,0,random,2,1.496904
a6000,0,random,4,1.330118
a6000,0,random,8,1.240862
a6000,0,random,16,1.179572
a6000,0,random,32,1.136218
a6000,0,random,64,1.095958
a6000,0,random,128,1.067785
a6000,0,random,256,1.048597
a6000,0,random,512,1.034005
a6000,0,random,1024,1.024332
a6000,0,random,2048,1.014578
a6000,0,random,4096,1.006147
a6000,0,random_pruned,1,1.738619
a6000,0,random_pruned,2,1.480843
a6000,0,random_pruned,4,1.332982
a6000,0,random_pruned,8,1.252633
a6000,0,random_pruned,16,1.187675
a6000,0,random_pruned,32,1.133937
a6000,0,random_pruned,64,1.098071
a6000,0,random_pruned,128,1.070735
a6000,0,random_pruned,256,1.052376
a6000,0,random_pruned,512,1.035865
a6000,0,random_pruned,1024,1.024851
a6000,0,random_pruned,2048,1.014083
a6000,0,random_pruned,4096,1.005159
a6000,0,random_cond,1,4.250954
a6000,0,random_cond,2,2.137159
a6000,0,random_cond,4,1.410937
a6000,0,random_cond,8,1.305082
a6000,0,random_cond,16,1.206099
a6000,0,random_cond,32,1.151295
a6000,0,random_cond,64,1.115455
a6000,0,random_cond,128,1.089312
a6000,0,random_cond,256,1.069398
a6000,0,random_cond,512,1.056063
a6000,0,random_cond,1024,1.043269
a6000,0,random_cond,2048,1.028895
a6000,0,random_cond,4096,1.017438
a6000,0,tpe,1,1.891185
a6000,0,tpe,2,1.409237
a6000,0,tpe,4,1.396227
a6000,0,tpe,8,1.325320
a6000,0,tpe,16,1.199921
a6000,0,tpe,32,1.118877
a6000,0,tpe,64,1.085801
a6000,0,tpe,128,1.067411
a6000,0,tpe,256,1.047593
a6000,0,tpe,512,1.031597
a6000,0,tpe,1024,1.015489
a6000,0,our_rule,0,1.100351
a6000,0,vendor,0,1.092486
a6000,1,random,1,2.586105
a6000,1,random,2,1.551649
a6000,1,random,4,1.332005
a6000,1,random,8,1.238973
a6000,1,random,16,1.164512
a6000,1,random,32,1.116494
a6000,1,random,64,1.081318
a6000,1,random,128,1.056853
a6000,1,random,256,1.038737
a6000,1,random,512,1.026069
a6000,1,random,1024,1.017371
a6000,1,random,2048,1.008633
a6000,1,random,4096,1.003866
a6000,1,random_pruned,1,1.792161
a6000,1,random_pruned,2,1.518832
a6000,1,random_pruned,4,1.354977
a6000,1,random_pruned,8,1.241816
a6000,1,random_pruned,16,1.171743
a6000,1,random_pruned,32,1.118374
a6000,1,random_pruned,64,1.080056
a6000,1,random_pruned,128,1.059277
a6000,1,random_pruned,256,1.043710
a6000,1,random_pruned,512,1.028062
a6000,1,random_pruned,1024,1.017728
a6000,1,random_pruned,2048,1.008588
a6000,1,random_pruned,4096,1.003497
a6000,1,random_cond,1,3.392955
a6000,1,random_cond,2,2.013451
a6000,1,random_cond,4,1.420157
a6000,1,random_cond,8,1.249859
a6000,1,random_cond,16,1.171571
a6000,1,random_cond,32,1.120103
a6000,1,random_cond,64,1.084966
a6000,1,random_cond,128,1.064787
a6000,1,random_cond,256,1.044237
a6000,1,random_cond,512,1.033100
a6000,1,random_cond,1024,1.027916
a6000,1,random_cond,2048,1.020341
a6000,1,random_cond,4096,1.009190
a6000,1,tpe,1,1.957091
a6000,1,tpe,2,1.623273
a6000,1,tpe,4,1.386173
a6000,1,tpe,8,1.259139
a6000,1,tpe,16,1.174298
a6000,1,tpe,32,1.118380
a6000,1,tpe,64,1.081109
a6000,1,tpe,128,1.051469
a6000,1,tpe,256,1.037155
a6000,1,tpe,512,1.024902
a6000,1,tpe,1024,1.011996
a6000,1,our_rule,0,1.105289
a6000,1,vendor,0,1.089068
a6000,2,random,1,2.570110
a6000,2,random,2,1.602008
a6000,2,random,4,1.399554
a6000,2,random,8,1.276981
a6000,2,random,16,1.181429
a6000,2,random,32,1.133361
a6000,2,random,64,1.091200
a6000,2,random,128,1.065757
a6000,2,random,256,1.045825
a6000,2,random,512,1.033467
a6000,2,random,1024,1.021059
a6000,2,random,2048,1.010980
a6000,2,random,4096,1.004590
a6000,2,random_pruned,1,1.896281
a6000,2,random_pruned,2,1.612763
a6000,2,random_pruned,4,1.408706
a6000,2,random_pruned,8,1.286914
a6000,2,random_pruned,16,1.200729
a6000,2,random_pruned,32,1.136976
a6000,2,random_pruned,64,1.098353
a6000,2,random_pruned,128,1.062480
a6000,2,random_pruned,256,1.045349
a6000,2,random_pruned,512,1.028766
a6000,2,random_pruned,1024,1.020332
a6000,2,random_pruned,2048,1.010250
a6000,2,random_pruned,4096,1.003849
a6000,2,random_cond,1,4.999772
a6000,2,random_cond,2,2.100545
a6000,2,random_cond,4,1.456987
a6000,2,random_cond,8,1.295504
a6000,2,random_cond,16,1.230315
a6000,2,random_cond,32,1.161240
a6000,2,random_cond,64,1.106654
a6000,2,random_cond,128,1.080565
a6000,2,random_cond,256,1.059756
a6000,2,random_cond,512,1.046296
a6000,2,random_cond,1024,1.033794
a6000,2,random_cond,2048,1.023690
a6000,2,random_cond,4096,1.013111
a6000,2,tpe,1,1.948702
a6000,2,tpe,2,1.546417
a6000,2,tpe,4,1.449275
a6000,2,tpe,8,1.388289
a6000,2,tpe,16,1.173668
a6000,2,tpe,32,1.135582
a6000,2,tpe,64,1.090889
a6000,2,tpe,128,1.066189
a6000,2,tpe,256,1.048840
a6000,2,tpe,512,1.033418
a6000,2,tpe,1024,1.023289
a6000,2,our_rule,0,1.063481
a6000,2,vendor,0,1.080987
a6000,3,random,1,2.338980
a6000,3,random,2,1.550405
a6000,3,random,4,1.309005
a6000,3,random,8,1.220168
a6000,3,random,16,1.160517
a6000,3,random,32,1.116053
a6000,3,random,64,1.081635
a6000,3,random,128,1.061409
a6000,3,random,256,1.044828
a6000,3,random,512,1.030726
a6000,3,random,1024,1.021247
a6000,3,random,2048,1.011055
a6000,3,random,4096,1.004467
a6000,3,random_pruned,1,1.803858
a6000,3,random_pruned,2,1.497559
a6000,3,random_pruned,4,1.321362
a6000,3,random_pruned,8,1.239873
a6000,3,random_pruned,16,1.171598
a6000,3,random_pruned,32,1.123980
a6000,3,random_pruned,64,1.090753
a6000,3,random_pruned,128,1.066169
a6000,3,random_pruned,256,1.046246
a6000,3,random_pruned,512,1.031754
a6000,3,random_pruned,1024,1.020576
a6000,3,random_pruned,2048,1.009834
