dir,round,regret,native
4090->5090,-2,1.080996,1.0543835000000001
4090->5090,-1,1.058045,1.0543835000000001
4090->5090,0,1.047995,1.0543835000000001
4090->5090,1,1.047995,1.0543835000000001
4090->5090,2,1.050772,1.0543835000000001
4090->5090,3,1.050772,1.0543835000000001
4090->5090,4,1.054193,1.0543835000000001
4090->5090,5,1.040132,1.0543835000000001
4090->a6000,-2,1.252578,1.155813
4090->a6000,-1,1.151095,1.155813
4090->a6000,0,1.09713,1.155813
4090->a6000,1,1.09713,1.155813
4090->a6000,2,1.09713,1.155813
4090->a6000,3,1.09713,1.155813
4090->a6000,4,1.09713,1.155813
4090->a6000,5,1.09713,1.155813
4090->h100,-2,1.103434,1.1084885
4090->h100,-1,1.128028,1.1084885
4090->h100,2,1.0996,1.1084885
4090->h100,3,1.127285,1.1084885
4090->h100,4,1.12768,1.1084885
4090->h100,5,1.05371,1.1084885
5090->4090,-2,1.078717,1.058584
5090->4090,-1,1.065656,1.058584
5090->4090,2,1.04925,1.058584
5090->4090,3,1.04925,1.058584
5090->4090,4,1.055221,1.058584
5090->4090,5,1.050166,1.058584
5090->a6000,-2,1.123699,1.155813
5090->a6000,-1,1.114347,1.155813
5090->a6000,0,1.054147,1.155813
5090->a6000,1,1.061017,1.155813
5090->a6000,2,1.054177,1.155813
5090->a6000,3,1.054177,1.155813
5090->a6000,4,1.054177,1.155813
5090->a6000,5,1.058674,1.155813
5090->h100,-2,1.560075,1.1084885
5090->h100,-1,1.414941,1.1084885
5090->h100,0,1.094425,1.1084885
5090->h100,1,1.094425,1.1084885
5090->h100,2,1.094425,1.1084885
5090->h100,3,1.107609,1.1084885
5090->h100,4,1.107609,1.1084885
5090->h100,5,1.107609,1.1084885
a6000->4090,-2,1.181837,1.058584
a6000->4090,-1,1.134426,1.058584
a6000->4090,0,1.056162,1.058584
a6000->4090,1,1.056919,1.058584
a6000->4090,2,1.056919,1.058584
a6000->4090,3,1.056919,1.058584
a6000->4090,4,1.056919,1.058584
a6000->4090,5,1.057311,1.058584
a6000->5090,-2,1.302333,1.0543835000000001
a6000->5090,-1,1.18403,1.0543835000000001
a6000->5090,2,1.123878,1.0543835000000001
a6000->5090,3,1.123878,1.0543835000000001
a6000->5090,4,1.09302,1.0543835000000001
a6000->5090,5,1.09302,1.0543835000000001
a6000->h100,-2,1.166474,1.1084885
a6000->h100,-1,1.123923,1.1084885
a6000->h100,1,1.107131,1.1084885
a6000->h100,2,1.10748,1.1084885
a6000->h100,3,1.10748,1.1084885
a6000->h100,4,1.10748,1.1084885
a6000->h100,5,1.10748,1.1084885
h100->4090,-2,1.184846,1.058584
h100->4090,-1,1.188793,1.058584
h100->4090,2,1.065908,1.058584
h100->4090,3,1.065908,1.058584
h100->4090,4,1.075754,1.058584
h100->4090,5,1.082669,1.058584
h100->5090,-2,1.251617,1.0543835000000001
h100->5090,-1,1.169762,1.0543835000000001
h100->5090,2,1.036663,1.0543835000000001
h100->5090,3,1.036663,1.0543835000000001
h100->5090,4,1.036898,1.0543835000000001
h100->5090,5,1.026637,1.0543835000000001
h100->a6000,-2,1.184846,1.155813
h100->a6000,-1,1.176158,1.155813
h100->a6000,2,1.175084,1.155813
h100->a6000,3,1.164223,1.155813
h100->a6000,4,1.164223,1.155813
h100->a6000,5,1.164223,1.155813
