dir,N,arm,regret,native
4090->5090,4,a_refit_random,1.071446,1.054384
4090->5090,8,a_refit_random,1.077982,1.054384
4090->5090,16,a_refit_random,1.077087,1.054384
4090->a6000,4,a_refit_random,1.148165,1.155813
4090->a6000,8,a_refit_random,1.130789,1.155813
4090->a6000,16,a_refit_random,1.124612,1.155813
4090->h100,4,a_refit_random,1.180474,1.108488
4090->h100,8,a_refit_random,1.131889,1.108488
4090->h100,16,a_refit_random,1.134545,1.108488
5090->4090,4,a_refit_random,1.252275,1.058584
5090->4090,8,a_refit_random,1.110294,1.058584
5090->4090,16,a_refit_random,1.06463,1.058584
5090->a6000,4,a_refit_random,1.162721,1.155813
5090->a6000,8,a_refit_random,1.124145,1.155813
5090->a6000,16,a_refit_random,1.119891,1.155813
5090->h100,4,a_refit_random,1.249838,1.108488
5090->h100,8,a_refit_random,1.223052,1.108488
5090->h100,16,a_refit_random,1.128834,1.108488
a6000->4090,4,a_refit_random,1.113376,1.058584
a6000->4090,8,a_refit_random,1.109633,1.058584
a6000->4090,16,a_refit_random,1.126511,1.058584
a6000->5090,4,a_refit_random,1.180669,1.054384
a6000->5090,8,a_refit_random,1.12552,1.054384
a6000->5090,16,a_refit_random,1.12329,1.054384
a6000->h100,4,a_refit_random,1.136273,1.108488
a6000->h100,8,a_refit_random,1.1274,1.108488
a6000->h100,16,a_refit_random,1.132636,1.108488
h100->4090,4,a_refit_random,1.162537,1.058584
h100->4090,8,a_refit_random,1.184889,1.058584
h100->4090,16,a_refit_random,1.133057,1.058584
h100->5090,4,a_refit_random,1.113464,1.054384
h100->5090,8,a_refit_random,1.13539,1.054384
h100->5090,16,a_refit_random,1.129142,1.054384
h100->a6000,4,a_refit_random,1.193874,1.155813
h100->a6000,8,a_refit_random,1.185125,1.155813
h100->a6000,16,a_refit_random,1.18847,1.155813
4090->5090,4,a_refit_strat,1.090113,1.054384
4090->5090,8,a_refit_strat,1.090715,1.054384
4090->5090,16,a_refit_strat,1.057224,1.054384
4090->a6000,4,a_refit_strat,1.180046,1.155813
4090->a6000,8,a_refit_strat,1.126002,1.155813
4090->a6000,16,a_refit_strat,1.116368,1.155813
4090->h100,4,a_refit_strat,1.156902,1.108488
4090->h100,8,a_refit_strat,1.147066,1.108488
4090->h100,16,a_refit_strat,1.120637,1.108488
5090->4090,4,a_refit_strat,1.08155,1.058584
5090->4090,8,a_refit_strat,1.089646,1.058584
5090->4090,16,a_refit_strat,1.084384,1.058584
5090->a6000,4,a_refit_strat,1.134288,1.155813
5090->a6000,8,a_refit_strat,1.147182,1.155813
5090->a6000,16,a_refit_strat,1.10977,1.155813
5090->h100,4,a_refit_strat,1.312222,1.108488
5090->h100,8,a_refit_strat,1.17448,1.108488
5090->h100,16,a_refit_strat,1.134336,1.108488
a6000->4090,4,a_refit_strat,1.106749,1.058584
a6000->4090,8,a_refit_strat,1.107682,1.058584
a6000->4090,16,a_refit_strat,1.076973,1.058584
a6000->5090,4,a_refit_strat,1.135108,1.054384
a6000->5090,8,a_refit_strat,1.162476,1.054384
a6000->5090,16,a_refit_strat,1.124876,1.054384
a6000->h100,4,a_refit_strat,1.132552,1.108488
a6000->h100,8,a_refit_strat,1.116418,1.108488
a6000->h100,16,a_refit_strat,1.110369,1.108488
h100->4090,4,a_refit_strat,1.184846,1.058584
h100->4090,8,a_refit_strat,1.117801,1.058584
h100->4090,16,a_refit_strat,1.185776,1.058584
h100->5090,4,a_refit_strat,1.105444,1.054384
h100->5090,8,a_refit_strat,1.115438,1.054384
h100->5090,16,a_refit_strat,1.127142,1.054384
h100->a6000,4,a_refit_strat,1.198443,1.155813
h100->a6000,8,a_refit_strat,1.18754,1.155813
h100->a6000,16,a_refit_strat,1.179542,1.155813
4090->5090,4,b_loop_random,1.277849,1.054384
4090->a6000,4,b_loop_random,1.135591,1.155813
4090->h100,4,b_loop_random,1.242086,1.108488
5090->4090,4,b_loop_random,1.348983,1.058584
5090->a6000,4,b_loop_random,1.069486,1.155813
5090->h100,4,b_loop_random,1.143729,1.108488
a6000->4090,4,b_loop_random,1.138694,1.058584
a6000->5090,4,b_loop_random,1.263957,1.054384
a6000->h100,4,b_loop_random,1.36213,1.108488
h100->4090,4,b_loop_random,1.132999,1.058584
h100->5090,4,b_loop_random,1.106103,1.054384
h100->a6000,4,b_loop_random,1.212084,1.155813
4090->5090,8,b_loop_random,1.1024,1.054384
4090->a6000,8,b_loop_random,1.126237,1.155813
4090->h100,8,b_loop_random,1.149443,1.108488
5090->4090,8,b_loop_random,1.121067,1.058584
5090->a6000,8,b_loop_random,1.195738,1.155813
5090->h100,8,b_loop_random,1.097471,1.108488
a6000->4090,8,b_loop_random,1.655545,1.058584
a6000->5090,8,b_loop_random,1.141894,1.054384
a6000->h100,8,b_loop_random,1.132149,1.108488
h100->4090,8,b_loop_random,1.09714,1.058584
h100->5090,8,b_loop_random,1.08683,1.054384
h100->a6000,8,b_loop_random,1.219332,1.155813
4090->5090,16,b_loop_random,1.079809,1.054384
4090->a6000,16,b_loop_random,1.147096,1.155813
4090->h100,16,b_loop_random,1.180836,1.108488
5090->4090,16,b_loop_random,1.068365,1.058584
5090->a6000,16,b_loop_random,1.187657,1.155813
5090->h100,16,b_loop_random,1.110848,1.108488
a6000->4090,16,b_loop_random,1.067459,1.058584
a6000->5090,16,b_loop_random,1.081158,1.054384
a6000->h100,16,b_loop_random,1.110532,1.108488
h100->4090,16,b_loop_random,1.071492,1.058584
h100->5090,16,b_loop_random,1.063153,1.054384
h100->a6000,16,b_loop_random,1.16563,1.155813
4090->5090,4,b_loop_strat,1.064287,1.054384
4090->a6000,4,b_loop_strat,1.394223,1.155813
4090->h100,4,b_loop_strat,2.552752,1.108488
5090->4090,4,b_loop_strat,1.042117,1.058584
5090->a6000,4,b_loop_strat,1.122047,1.155813
5090->h100,4,b_loop_strat,1.366943,1.108488
a6000->4090,4,b_loop_strat,1.20151,1.058584
a6000->5090,4,b_loop_strat,1.081058,1.054384
a6000->h100,4,b_loop_strat,1.099516,1.108488
h100->4090,4,b_loop_strat,1.173953,1.058584
h100->5090,4,b_loop_strat,1.041651,1.054384
h100->a6000,4,b_loop_strat,1.174056,1.155813
4090->5090,8,b_loop_strat,1.070526,1.054384
4090->a6000,8,b_loop_strat,1.151455,1.155813
4090->h100,8,b_loop_strat,1.143371,1.108488
5090->4090,8,b_loop_strat,1.105809,1.058584
5090->a6000,8,b_loop_strat,1.134291,1.155813
5090->h100,8,b_loop_strat,1.081993,1.108488
a6000->4090,8,b_loop_strat,1.20501,1.058584
a6000->5090,8,b_loop_strat,1.058778,1.054384
a6000->h100,8,b_loop_strat,1.642846,1.108488
h100->4090,8,b_loop_strat,1.122368,1.058584
h100->5090,8,b_loop_strat,1.061237,1.054384
h100->a6000,8,b_loop_strat,1.181012,1.155813
4090->5090,16,b_loop_strat,1.053982,1.054384
4090->a6000,16,b_loop_strat,1.110547,1.155813
4090->h100,16,b_loop_strat,1.481954,1.108488
5090->4090,16,b_loop_strat,1.027767,1.058584
5090->a6000,16,b_loop_strat,1.116069,1.155813
5090->h100,16,b_loop_strat,1.083962,1.108488
a6000->4090,16,b_loop_strat,1.111481,1.058584
a6000->5090,16,b_loop_strat,1.089185,1.054384
a6000->h100,16,b_loop_strat,1.076012,1.108488
h100->4090,16,b_loop_strat,1.104912,1.058584
h100->5090,16,b_loop_strat,1.067088,1.054384
h100->a6000,16,b_loop_strat,1.124835,1.155813
